Serial No.,ISO Tank No.,Date,Shipment,Weight Before (Kg),Weight After (Kg),Loaded LNG Weight (Kg),Density (Kg/m©ø),Liquid Temp (¡ÆC),Gross Heating Value (BTU/Kg),Gassing Up Vol (m©ø),Gassing Up Energy (MMBTU),Cooling Down Temp (¡ÆC),Cooling Down Vol (m©ø),Cooling Down Energy (MMBTU),BTU Loaded (BTU),BTU Loaded (MMBTU),Volume Loaded (m©ø),Total Delivered Vol (m©ø),Total Energy Delivered (MMBTU)
SIMU 8101750,ISOT-026,2025-12-03,N-1,"28,720","46,480","17,760",442.02,-160,"52,214.94",0.12,3,27.3,0.24,5,"927,337,296",928,41,42,936
SIMU 8103711,ISOT-086,2025-12-03,N-1,"28,650","44,830","16,180",442.02,-160,"52,214.94",0.12,3,29.8,0.24,6,"844,837,694",845,37,38,854
SIMU 8101426,ISOT-009,2025-12-04,N-1,"28,640","47,830","19,190",442.02,-160,"52,214.94",0.12,3,27.3,0.24,5,"1,002,004,657","1,003.00",44,45,"1,011.00"
SIMU 8101909,ISOT-036,2025-12-04,N-1,"28,920","46,070","17,150",442.02,-160,"52,214.94",0.12,3,28,0.24,5,"895,486,184",896,39,40,904
SIMU 8101513,ISOT-014,2025-12-04,N-1,"28,880","45,400","16,520",442.02,-160,"52,214.94",0.12,3,25,0.23,5,"862,590,773",863,38,39,871
SIMU 8102567,ISOT-064,2025-12-04,N-1,"28,760","28,780",20,442.02,-160,"52,214.94",0.12,3,28.7,0.24,6,"1,044,299",2,1,2,11
SIMU 8101848,ISOT-031,2025-12-04,N-1,"28,740","45,960","17,220",442.02,-160,"52,214.94",0.12,3,28,0.24,5,"899,141,229",900,39,40,908
SIMU 8103732,ISOT-088,2025-12-04,N-1,"28,740","47,890","19,150",442.02,-160,"52,214.94",0.12,3,0.2,0.2,5,"999,916,059","1,000.00",44,45,"1,008.00"
SIMU 8113176,ISOT-120,2025-12-05,N-1,"28,600","45,560","16,960",442.02,-160,"52,214.94",0.12,3,28,0.24,5,"885,565,345",886,39,40,894
SIMU 8101581,ISOT-017,2025-12-05,N-1,"28,610","46,420","17,810",442.02,-160,"52,214.94",0.12,3,26.9,0.24,5,"929,948,043",930,41,42,938
SIMU 8111297,ISOT-103,2025-12-05,N-1,"28,660","46,600","17,940",442.02,-160,"52,214.94",0.12,3,27.7,0.24,5,"936,735,984",937,41,42,945
