Date,"Cum. M-101A
UVOL (MMCF)","Cum. M-101A
CVOL (MMCF)","Cum. M-101A 
Mass (Tonne)","Cum. M-101A 
(MMBTU)","Cum. M-101B
UVOL (MMCF)","Cum. M-101B
CVOL (MMCF)","Cum. M-101B 
Mass (Tonne)","Cum. M-101B 
(MMBTU)","Cum. STATION
UVOL (MMCF)","Cum. STATION
CVOL (MMCF)","Cum. STATION
Mass (Tonne)","Cum. STATION
(MMBTU)","Daily M-101A
UVOL MMCF","Daily M-101A
CVOL MMCF","Daily M-101A 
Mass Tonne","Daily M-101A 
(MMBTU)","Daily M-101B
UVOL MMCF","Daily M-101B
CVOL MMCF","Daily M-101B 
Mass Tonne","Daily M-101B
(MMBTU)","Daily STATION
UVOL (MMCF)","Daily STATION
CVOL (MMCF)","Daily STATION
Mass (Tonne)","Daily STATION
(MMBTU)","Press (Barg)
M-101A","Temp (℃) 
M-101A ","Line Dens
kg/㎥","Line Compress
(Zf) M-101A ","GHV (BTU/SCF)
M-101A","Press (Barg)
M-101B","Temp (℃) 
M-101B ","Line Dens
kg/㎥","Line Compress
(Zf) M-101B ","GHV (BTU/SCF)
M-101B",,,,,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,1259.09,,,,1259.09,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-02,,,,1259.75,,,,1259.75,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-03,,,,1259.75,,,,1259.75,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,,,,1259.75,,,,1259.75,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,,,,,,,,,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06,,,,1347.74,,,,1347.74,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,,,,1347.74,,,,1347.74,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,,,,1347.74,,,,1347.74,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-09,,,,2023.01,,,,2023.01,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10,,,,2023.01,,,,2023.01,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,,,,2023.01,,,,2023.01,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,,,,1347.74,,,,1347.74,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,,,,1347.74,,,,1347.74,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,,,,2023.01,,,,2023.01,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,,,,2023.01,,,,2023.01,,,,,,,,0,,,,0,,,,,0,0,,,,,,,,993.05,,,,,,,,,,,,,,,,,,,,,,,
