Report Date,Nitrogen (%) M-101A,Nitrogen (%) M-101B,CO2 (%) M-101A,CO2 (%) M-101B,H2S (%) M-101A,H2S (%) M-101B,H2O (%) M-101A,H2O (%) M-101B,Methane (%) M-101A,Methane (%) M-101B,Ethane (%) M-101A,Ethane (%) M-101B,Propane (%) M-101A,Propane (%) M-101B,n-Butane (%) M-101A,n-Butane (%) M-101B,i-Butane (%) M-101A,i-Butane (%) M-101B,n-Pentane (%) M-101A,n-Pentane (%) M-101B,i-Pentane (%) M-101A,i-Pentane (%) M-101B,Hexane (%) M-101A,Hexane (%) M-101B,Heptane (%) M-101A,Heptane (%) M-101B,Octane (%) M-101A,Octane (%) M-101B,Nonane (%) M-101A,Nonane (%) M-101B,Decane (%) M-101A,Decane (%) M-101B
2026-05-01,0.26,,0.6,,0,0,0.06,0.06,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.16,0.16,0.16,0.16,0,0,0,0,0,0,0,0,0,0
2026-05-02,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.16,0.16,0.16,0.16,0,0,0,0,0,0,0,0,0,0
2026-05-03,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0.24,0.24,0,0,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0
2026-05-04,0.26,,0.6,,0,0,0.66,0.66,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.16,0.16,0.16,0.16,0,0,0,0,0,0,0,0,0,0
2026-05-05,0.26,,0.6,,,,,,96.52,96.52,1.82,1.82,0.46,0.46,,,,,,,,,,,,,,,,,,
2026-05-06,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-07,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2026-05-08,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2026-05-09,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.7,0.7,0.7,0.7,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-10,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.78,0.78,0.78,0.78,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-11,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.78,0.78,0.78,0.78,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-12,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2026-05-13,0.26,,0.6,,0,0,0,0,96.52,96.52,1.82,1.82,0.46,0.46,0,0,0.24,0.24,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
2026-05-14,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.78,0.78,0.78,0.78,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-15,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.7,0.7,0.7,0.7,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-16,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.78,0.78,0.78,0.78,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
2026-05-17,0.41,,4.59,,0,0,0,0,82.85,82.85,6.81,6.81,3.37,3.37,0.55,0.55,0.18,0.18,0.78,0.78,0.78,0.78,0.07,0.07,0.09,0.09,0.03,0.03,0,0,0,0
