No,ISO Tk No.,Serial No.,Location,Position,REMARKS
1,ISOT - 1,SIMU-8101236,Ship,MV. SAVIOUR,-
2,ISOT - 2,SIMU-8101241,Ship,MV. SAVIOUR,-
3,ISOT - 3,SIMU-8101278,Ship,MV. SAVIOUR,-
4,ISOT - 4,SIMU-8101299,Ship,MV. SAVIOUR,-
5,ISOT - 5,SIMU-8101318,Ship,MV. SAVIOUR,-
6,ISOT - 6,SIMU-8101344,Ship,MV. SAVIOUR,-
7,ISOT - 7,SIMU-8101386,Aceh,LAYDOWN PAG,-
8,ISOT - 8,SIMU-8101405,Ship,MV. SAVIOUR,-
9,ISOT - 9,SIMU-8101426,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 49% (13 August 2026) Used for Gas Trail
10,ISOT - 10,SIMU-8101447,Ship,MV. SAVIOUR,-
11,ISOT - 11,SIMU-8101473,Ship,MV. SAVIOUR,-
12,ISOT - 12,SIMU-8101489,Ship,MV. SAVIOUR,-
13,ISOT - 13,SIMU-8101508,Ship,MV. SAVIOUR,-
14,ISOT - 14,SIMU-8101513,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 54% (13 August 2026)
15,ISOT - 15,SIMU-8101529,Ship,MV. SAVIOUR,-
16,ISOT - 16,SIMU-8101560,Ship,MV. SAVIOUR,-
17,ISOT - 17,SIMU-8101581,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 63% (13 August 2026)
18,ISOT - 18,SIMU-8101597,Aceh,LAYDOWN PAG,-
19,ISOT - 19,SIMU-8101637,Ship,MV. SAVIOUR,-
20,ISOT - 20,SIMU-8101642,Ship,MV. SAVIOUR,-
21,ISOT - 21,SIMU-8101658,Ship,MV. SAVIOUR,-
22,ISOT - 22,SIMU-8101679,Ship,MV. SAVIOUR,-
23,ISOT - 23,SIMU-8101684,Ship,MV. SAVIOUR,-
24,ISOT - 24,SIMU-8101703,Ship,MV. SAVIOUR,-
25,ISOT - 25,SIMU-8101724,Ship,MV. SAVIOUR,-
26,ISOT - 26,SIMU-8101750,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 62% (13 August 2026)
27,ISOT - 27,SIMU-8101766,Ship,MV. SAVIOUR,-
28,ISOT - 28,SIMU-8101787,Ship,MV. SAVIOUR,-
29,ISOT - 29,SIMU-8101806,Ship,MV. SAVIOUR,-
30,ISOT - 30,SIMU-8101832,Ship,MV. SAVIOUR,-
31,ISOT - 31,SIMU-8101848,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 55% (13 August 2026)
32,ISOT - 32,SIMU-8101853,Ship,MV. SAVIOUR,-
33,ISOT - 33,SIMU-8101874,Ship,MV. SAVIOUR,-
34,ISOT - 34,SIMU-8101880,Ship,MV. SAVIOUR,-
35,ISOT - 35,SIMU-8101895,Ship,MV. SAVIOUR,-
36,ISOT - 36,SIMU-8101909,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 56% (13 August 2026)
37,ISOT - 37,SIMU-8101914,Ship,MV. SAVIOUR,-
38,ISOT - 38,SIMU-8101920,Ship,MV. SAVIOUR,-
39,ISOT - 39,SIMU-8101940,Ship,MV. SAVIOUR,-
40,ISOT - 40,SIMU-8101956,Ship,MV. SAVIOUR,-
41,ISOT - 41,SIMU-8101977,Ship,MV. SAVIOUR,-
42,ISOT - 42,SIMU-8101982,Ship,MV. SAVIOUR,-
43,ISOT - 43,SIMU-8102000,Ship,MV. SAVIOUR,-
44,ISOT - 44,SIMU-8102016,Ship,MV. SAVIOUR,-
45,ISOT - 45,SIMU-8102021,Ship,MV. SAVIOUR,-
46,ISOT - 46,SIMU-8102037,Ship,MV. SAVIOUR,-
47,ISOT - 47,SIMU-8102042,Ship,MV. SAVIOUR,-
48,ISOT - 48,SIMU-8102058,Ship,MV. SAVIOUR,-
49,ISOT - 49,SIMU-8102063,Ship,MV. SAVIOUR,-
50,ISOT - 50,SIMU-8102079,Ship,MV. SAVIOUR,-
51,ISOT - 51,SIMU-8102145,Ship,MV. SAVIOUR,-
52,ISOT - 52,SIMU-8102187,Aceh,LAYDOWN PAG,-
53,ISOT - 53,SIMU-8102192,Aceh,LAYDOWN PAG,-
54,ISOT - 54,SIMU-8102206,Ship,MV. SAVIOUR,-
55,ISOT - 55,SIMU-8102232,Ship,MV. SAVIOUR,-
56,ISOT - 56,SIMU-8102295,Ship,MV. SAVIOUR,-
57,ISOT - 57,SIMU-8102309,Ship,MV. SAVIOUR,-
58,ISOT - 58,SIMU-8102314,Ship,MV. SAVIOUR,-
59,ISOT - 59,SIMU-8102356,Ship,MV. SAVIOUR,-
60,ISOT - 60,SIMU-8102438,Aceh,LAYDOWN PAG,-
61,ISOT - 61,SIMU-8102443,Ship,MV. SAVIOUR,-
62,ISOT - 62,SIMU-8102470,Ship,MV. SAVIOUR,-
63,ISOT - 63,SIMU-8102510,Ship,MV. SAVIOUR,-
64,ISOT - 64,SIMU-8102567,ORU NIAS,LAYDOWN 1,Empty ISOTANK
65,ISOT - 65,SIMU-8102654,Ship,MV. SAVIOUR,-
66,ISOT - 66,SIMU-8102818,Ship,MV. SAVIOUR,-
67,ISOT - 67,SIMU-8102823,Ship,MV. SAVIOUR,-
68,ISOT - 68,SIMU-8102839,Ship,MV. SAVIOUR,-
69,ISOT - 69,SIMU-8102844,Ship,MV. SAVIOUR,-
70,ISOT - 70,SIMU-8102865,Ship,MV. SAVIOUR,-
71,ISOT - 71,SIMU-8102886,Ship,MV. SAVIOUR,-
72,ISOT - 72,SIMU-8102891,Ship,MV. SAVIOUR,-
73,ISOT - 73,SIMU-8103558,Ship,MV. SAVIOUR,-
74,ISOT - 74,SIMU-8103563,Aceh,LAYDOWN PAG,-
75,ISOT - 75,SIMU-8103579,Ship,MV. SAVIOUR,-
76,ISOT - 76,SIMU-8103584,Ship,MV. SAVIOUR,-
77,ISOT - 77,SIMU-8103590,Ship,MV. SAVIOUR,-
78,ISOT - 78,SIMU-8103603,Ship,MV. SAVIOUR,-
79,ISOT - 79,SIMU-8103619,Ship,MV. SAVIOUR,-
80,ISOT - 80,SIMU-8103624,Ship,MV. SAVIOUR,-
81,ISOT - 81,SIMU-8103650,Aceh,LAYDOWN PAG,-
82,ISOT - 82,SIMU-8103666,Ship,MV. SAVIOUR,-
83,ISOT - 83,SIMU-8103671,Aceh,LAYDOWN PAG,-
84,ISOT - 84,SIMU-8103687,Ship,MV. SAVIOUR,-
85,ISOT - 85,SIMU-8103692,Ship,MV. SAVIOUR,-
86,ISOT - 86,SIMU-8103711,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 74% (13 August 2026)
87,ISOT - 87,SIMU-8103727,Ship,MV. SAVIOUR,-
88,ISOT - 88,SIMU-8103732,ORU NIAS,LAYDOWN 1,Laden LNG ISOTANK 62% (13 August 2026)
89,ISOT - 89,SIMU-8103748,Ship,MV. SAVIOUR,-
90,ISOT - 90,SIMU-8103877,Ship,MV. SAVIOUR,-
91,ISOT - 91,SIMU-8110768,Ship,MV. SAVIOUR,-
92,ISOT - 92,SIMU-8110789,Ship,MV. SAVIOUR,-
93,ISOT - 93,SIMU-8110813,Ship,MV. SAVIOUR,-
94,ISOT - 94,SIMU-8110897,Ship,MV. SAVIOUR,-
95,ISOT - 95,SIMU-8110921,Ship,MV. SAVIOUR,-
96,ISOT - 96,SIMU-8110963,Ship,MV. SAVIOUR,-
97,ISOT - 97,SIMU-8111002,Aceh,LAYDOWN PAG,-
