Serial No.,ISO Tank,Shipment,Report Date,Weight Awal (Kg),Heating Value (BTU/Kg),Stock Awal (m©ø),Stock Awal (Kg),Stock Akhir (m©ø),Stock Akhir (Kg),Net Consumed (m©ø),Consumed (Kg),Consumed (MMBTU),Density (Kg/m©ø),Losses (Kg),Losses (%),Remarks
SIMU-8101426,ISOT-009,N1,26-Jul,15092,52214.94,24,10224,23,9798,0,0,0,426,426,4.17,Depressurize
SIMU-8101513,ISOT-014,N1,26-Jul,17337,52214.94,28.4,12098.4,26.1,11118.6,0,0,0,426,979.8,8.1,Depressurize
SIMU-8101581,ISOT-017,N1,26-Jul,17896,52214.94,31,13206,30,12780,0,0,0,426,426,3.23,Depressurize
SIMU-8101750,ISOT-026,N1,26-Jul,17942,52214.94,31.7,13504.2,30.1,12822.6,0,0,0,426,681.6,5.05,Depressurize
SIMU-8101848,ISOT-031,N1,26-Jul,17790,52214.94,28.6,12183.6,26.6,11331.6,0,0,0,426,852,6.99,Depressurize
SIMU-8101909,ISOT-036,N1,26-Jul,17363,52214.94,29.9,12737.4,27.3,11629.8,0,0,0,426,1107.6,8.7,Depressurize
SIMU-8113176,ISOT-120,N1,26-Jul,17465,52214.94,35,14910,34,14484,0,0,0,426,426,2.86,Depressurize
SIMU-8103711,ISOT-086,N1,26-Jul,17342,52214.94,30,12780,29,12354,0,0,0,426,426,3.33,Depressurize
SIMU-8103732,ISOT-088,N1,26-Jul,17447,52214.94,29,12354,28,11928,0,0,0,426,426,3.45,Depressurize
SIMU-8111297,ISOT-103,N1,26-Jul,17167,52214.94,32,13632,31,13206,0,0,0,426,426,3.12,Depressurize
