Report Date,Serial No.,ISO Tk No.,Shipment,Level (%),Level (m©ø),Level (mmH2O),Battery (%),Pressure (MPa),Temp (¡ÆC),Depress,Press_Before (MPa),Press_After (MPa),Remarks
2026-08-12,SIMU-8101426,ISOT-009,N1,,,,,,,,,,
2026-08-12,SIMU-8101513,ISOT-014,N1,,,,,,,,,,
2026-08-12,SIMU-8101581,ISOT-017,N1,,,,,,,,,,
2026-08-12,SIMU-8101750,ISOT-026,N1,,,,,,,,,,
2026-08-12,SIMU-8101848,ISOT-031,N1,,,,,,,,,,
2026-08-12,SIMU-8101909,ISOT-036,N1,,,,,,,,0.8,0.71,
2026-08-12,SIMU-8102567,ISOT-064,N1,,,,,,,,,,
2026-08-12,SIMU-8103711,ISOT-086,N1,,,,,,,,,,
2026-08-12,SIMU-8103732,ISOT-088,N1,,,,,,,,,,
2026-08-12,SIMU-8111297,ISOT-103,N1,,,,,,,,,,
2026-08-12,SIMU-8113176,ISOT-120,N1,,,,,,,,,,
2026-08-11,SIMU-8101426,ISOT-009,N1,,,,,,,,0.8,0.7,
2026-08-11,SIMU-8101513,ISOT-014,N1,,,,,,,,0.8,0.71,
2026-08-11,SIMU-8101581,ISOT-017,N1,,,,,,,,0.79,0.7,
2026-08-11,SIMU-8101750,ISOT-026,N1,,,,,,,,,,
2026-08-11,SIMU-8101848,ISOT-031,N1,,,,,,,,,,
2026-08-11,SIMU-8101909,ISOT-036,N1,,,,,,,,,,
2026-08-11,SIMU-8102567,ISOT-064,N1,,,,,,,,,,
2026-08-11,SIMU-8103711,ISOT-086,N1,,,,,,,,0.79,0.71,
2026-08-11,SIMU-8103732,ISOT-088,N1,,,,,,,,,,
2026-08-11,SIMU-8111297,ISOT-103,N1,,,,,,,,,,
2026-08-11,SIMU-8113176,ISOT-120,N1,,,,,,,,,,
2026-08-10,SIMU-8101426,ISOT-009,N1,,,,,,,,,,
2026-08-10,SIMU-8101513,ISOT-014,N1,,,,,,,,,,
2026-08-10,SIMU-8101581,ISOT-017,N1,,,,,,,,,,
2026-08-10,SIMU-8101750,ISOT-026,N1,,,,,,,,,,
2026-08-10,SIMU-8101848,ISOT-031,N1,,,,,,,,,,
2026-08-10,SIMU-8101909,ISOT-036,N1,,,,,,,,,,
2026-08-10,SIMU-8102567,ISOT-064,N1,,,,,,,,,,
2026-08-10,SIMU-8103711,ISOT-086,N1,,,,,,,,,,
2026-08-10,SIMU-8103732,ISOT-088,N1,,,,,,,,,,
2026-08-10,SIMU-8111297,ISOT-103,N1,,,,,,,,,,
2026-08-10,SIMU-8113176,ISOT-120,N1,,,,,,,,,,
2026-08-09,SIMU-8101426,ISOT-009,N1,,,,,,,,,,
2026-08-09,SIMU-8101513,ISOT-014,N1,,,,,,,,,,
2026-08-09,SIMU-8101581,ISOT-017,N1,,,,,,,,,,
2026-08-09,SIMU-8101750,ISOT-026,N1,,,,,,,,,,
