Date,Daily_Report_PDF,MeterA_CVOL,MeterA_Energy,MeterB_CVOL,MeterB_Energy,GHV,MeterA_Press,MeterA_Temp,MeterB_Press,MeterB_Temp,Mol_Methane,Mol_Ethane,Mol_Propane,Mol_Nitrogen,Mol_CO2
2026-05-01,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-02,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-03,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-04,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-05,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-06,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-07,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-08,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-09,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-10,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-11,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-12,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-13,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-14,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-15,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-16,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-17,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-18,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-19,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-20,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-21,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-22,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-23,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-24,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-25,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-26,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-05-27,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-28,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-29,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-30,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-05-31,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-06-01,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-02,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-06-03,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-06-04,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-05,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-06-06,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-06-07,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-08,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-09,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-10,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-11,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-12,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-13,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-14,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-15,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-16,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-17,,0,0,0,0,993.05,0,0,0,0,82.85,6.81,3.37,0.41,4.59
2026-06-18,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-19,,0,5.63,0,5.63,993.05,7.3175,27.77,7.3175,27.77,96.52,1.82,0.16,0.26,0.6
2026-06-20,,0.01,1.42,0.01,1.42,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-21,,0,1.29,0,1.29,993.05,0,0,0,0,0,0,0,0,0
2026-06-22,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-06-23,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.46,0.26,0.6
2026-06-24,,0,0,0,0,993.05,0,0,0,0,95.52,1.82,0.46,0.26,0.6
2026-06-25,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-26,,0,0,0,0,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-27,,0.02,12.85,0.02,12.85,993.05,0,0,0,0,96.52,1.82,0.16,0.26,0.6
2026-06-28,,0.02,21.81,0.02,21.81,993.05,0,0,0,0,95,2.97,0.69,5.11,0
2026-06-29,,0,0,0,0,993.05,0,0,0,0,96.01,2.52,0.08,0.38,0.66
2026-06-30,,0,0.03,0,0.03,993.05,0,0,0,0,95.96,2.96,0.68,0.09,0
2026-07-01,,0,0,0,0,993.05,0,0,0,0,95.94,2.98,0.69,0.09,0
2026-07-01,,0,0,0,0,995.05,0,0,0,0,95.94,2.99,0.69,0.09,0
2026-07-03,,0,0,0,0,993.05,0,0,0,0,95.96,2.96,0.68,0.09,0
2026-07-04,,0,0,0,0,993.05,0,0,0,0,96,2.93,0.67,0.09,0
2026-07-05,,0,0,0,0,993.05,0,0,0,0,96.01,2.91,0.67,0.1,0
2026-07-06,,0,0,0,0,993.05,0,0,0,0,96.01,2.91,0.67,0.09,0
2026-07-07,,0,0,0,0,993.05,0,0,0,0,95.95,2.96,0.68,0.09,0
2026-07-08,,0,0,0,0,993.05,0,0,0,0,95.95,2.96,0.68,0.09,0
2026-07-09,,0,0,0,0,993.05,0,0,0,0,96.04,2.89,0.66,0.1,0
2026-07-10,,0,0,0,0,993.05,0,0,0,0,0.07,0,0,0.43,0.06
2026-07-11,,0,0,0,0,993.05,0,0,0,0,0.87,0,0,0.43,0.06
2026-07-12,,0,0,0,0,993.05,0,0,0,0,96.95,2.4,0.44,0.04,0
2026-07-13,,0,0,0,0,1045.6825,0,0,0,0,96.8841,2.4581,0.4456,0.0356,0
2026-07-14,,0,0,0,0,1045.7471,0,0,0,0,96.879,2.4622,0.4457,0.0356,0
2026-07-15,,0,0,0,0,1045.8246,0,0,0,0,96.8714,2.4668,0.4468,0.036,0
2026-07-16,,0,0,0,0,1045.9685,0,0,0,0,96.8581,2.4775,0.4494,0.0352,0
2026-07-17,,0,0,0,0,1046.3724,0,0,0,0,96.8251,2.4965,0.4534,0.0389,0
2026-07-18,,0,0,0,0,1046.5242,0,0,0,0,96.8106,2.5123,0.4577,0.0345,0
2026-07-19,,0,0,0,0,1046.7521,0,0,0,0,96.7822,2.5381,0.4631,0.0326,0
2026-07-20,,0,0,0,0,1047.051,0,0,0,0,96.7634,2.5481,0.4655,0.0335,0
2026-07-21,,3.71,3891.29,3.71,3891.29,1046.9571,0,0,0,0,96.757,2.5566,0.1687,0.0331,0
2026-07-22,,0.0034,3.5992,0.0034,3.5992,1047.244,0,0,0,0,96.7317,2.5737,0.4725,0.0341,0
2026-07-23,,0.95,995.13,1.27,1332.46,1047.3081,10,24.8032,10,25.2102,96.7084,2.5913,0.4768,0.0344,0
